Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
LEC,Ferrari,3.0,15.0,1,Finished,1.0,1.0,0 days 00:01:40.203000,0.0,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ALO,Aston Martin,4.0,12.0,1,Finished,6.0,6.0,0 days 00:01:41.253000,1.05,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
SAI,Ferrari,5.0,10.0,1,Finished,4.0,4.0,0 days 00:01:41.016000,0.813,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
HAM,Mercedes,6.0,8.0,1,Finished,5.0,5.0,0 days 00:01:41.177000,0.974,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
STR,Aston Martin,7.0,6.0,1,Finished,9.0,9.0,0 days 00:01:41.576000,1.373,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
RUS,Mercedes,8.0,5.0,1,Finished,11.0,11.0,0 days 00:01:41.654000,1.451,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
NOR,McLaren,9.0,2.0,1,Finished,7.0,7.0,0 days 00:01:41.281000,1.078,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
TSU,AlphaTauri,10.0,1.0,1,Finished,8.0,8.0,0 days 00:01:41.569000,1.366,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
PIA,McLaren,11.0,0.0,0,Finished,10.0,10.0,0 days 00:01:41.611000,1.408,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ALB,Williams,12.0,0.0,0,Finished,12.0,13.0,0 days 00:01:41.818000,1.615,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
MAG,Haas F1 Team,13.0,0.0,0,Finished,16.0,18.0,0 days 00:01:43.417000,3.214,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
GAS,Alpine,14.0,0.0,0,Finished,17.0,19.0,0 days 00:01:44.853000,4.65,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
OCO,Alpine,15.0,0.0,0,Finished,19.0,12.0,0 days 00:01:41.798000,1.595,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
SAR,Williams,16.0,0.0,0,Finished,14.0,15.0,0 days 00:01:42.242000,2.039,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
HUL,Haas F1 Team,17.0,0.0,0,Lapped,20.0,17.0,0 days 00:01:42.755000,2.552,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
BOT,Alfa Romeo,18.0,0.0,0,Lapped,13.0,14.0,0 days 00:01:42.259000,2.056,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ZHO,Alfa Romeo,19.0,0.0,0,Retired,15.0,16.0,0 days 00:01:42.642000,2.439,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
DEV,AlphaTauri,20.0,0.0,0,Retired,18.0,20.0,0 days 00:01:55.282000,15.079,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
