Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
ZHO,Alfa Romeo,9.0,2.0,1,Finished,13.0,13.0,0 days 00:01:13.521000,1.249,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
GAS,Alpine,10.0,1.0,1,Finished,10.0,4.0,0 days 00:01:12.816000,0.544,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
LEC,Ferrari,11.0,0.0,0,Finished,19.0,19.0,0 days 00:01:14.079000,1.807,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
TSU,AlphaTauri,12.0,0.0,0,Finished,15.0,15.0,0 days 00:01:13.862000,1.59,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
PIA,McLaren,13.0,0.0,0,Lapped,9.0,10.0,0 days 00:01:13.059000,0.787,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
DEV,AlphaTauri,14.0,0.0,0,Lapped,14.0,14.0,0 days 00:01:13.581000,1.309,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
HUL,Haas F1 Team,15.0,0.0,0,Lapped,7.0,8.0,0 days 00:01:13.229000,0.957,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
ALB,Williams,16.0,0.0,0,Lapped,18.0,18.0,0 days 00:01:14.063000,1.791,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
NOR,McLaren,17.0,0.0,0,Lapped,3.0,3.0,0 days 00:01:12.776000,0.504,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
MAG,Haas F1 Team,18.0,0.0,0,Lapped,17.0,17.0,0 days 00:01:14.042000,1.77,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
BOT,Alfa Romeo,19.0,0.0,0,Lapped,16.0,16.0,0 days 00:01:13.977000,1.705,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
SAR,Williams,20.0,0.0,0,Lapped,20.0,20.0,0 days 00:01:14.699000,2.427,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
VER,Red Bull Racing,1.0,25.0,1,Finished,1.0,1.0,0 days 00:01:19.092000,0.367,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
ALO,Aston Martin,2.0,18.0,1,Finished,2.0,3.0,0 days 00:01:19.776000,1.051,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
HAM,Mercedes,3.0,15.0,1,Finished,3.0,4.0,0 days 00:01:20.426000,1.701,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
LEC,Ferrari,4.0,12.0,1,Finished,10.0,11.0,0 days 00:01:20.615000,1.89,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
SAI,Ferrari,5.0,10.0,1,Finished,11.0,8.0,0 days 00:01:19.856000,1.131,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
PER,Red Bull Racing,6.0,9.0,1,Finished,12.0,12.0,0 days 00:01:20.959000,2.234,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
ALB,Williams,7.0,6.0,1,Finished,9.0,10.0,0 days 00:01:18.725000,0.0,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
OCO,Alpine,8.0,4.0,1,Finished,6.0,6.0,0 days 00:01:20.406000,1.681,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
STR,Aston Martin,9.0,2.0,1,Finished,16.0,13.0,0 days 00:01:21.484000,2.759,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
BOT,Alfa Romeo,10.0,1.0,1,Finished,14.0,15.0,0 days 00:01:21.821000,3.096,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
PIA,McLaren,11.0,0.0,0,Finished,8.0,9.0,0 days 00:01:19.659000,0.934,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
GAS,Alpine,12.0,0.0,0,Finished,15.0,17.0,0 days 00:01:22.886000,4.161,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
NOR,McLaren,13.0,0.0,0,Finished,7.0,7.0,0 days 00:01:19.347000,0.622,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
TSU,AlphaTauri,14.0,0.0,0,Finished,19.0,16.0,0 days 00:01:22.746000,4.021,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
HUL,Haas F1 Team,15.0,0.0,0,Lapped,5.0,2.0,0 days 00:01:20.305000,1.58,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
ZHO,Alfa Romeo,16.0,0.0,0,Lapped,20.0,20.0,0 days 00:01:23.342000,4.617,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
MAG,Haas F1 Team,17.0,0.0,0,Lapped,13.0,14.0,0 days 00:01:21.678000,2.953,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
DEV,AlphaTauri,18.0,0.0,0,Lapped,17.0,18.0,0 days 00:01:23.137000,4.412,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
RUS,Mercedes,19.0,0.0,0,Retired,4.0,5.0,0 days 00:01:20.098000,1.373,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
